lng,lat
33.2421855,35.028422
33.7364985,35.3994295
33.7364985,35.3994295
26.47994,38.382361
26.47994,38.382361
23.7263452,37.9751765
23.7263452,37.9751765
23.7263452,37.9751765
31.766667,26.6
23.7263452,37.9751765
23.7263452,37.9751765
29.909773,31.201435
29.909773,31.201435
23.7263452,37.9751765
23.7263452,37.9751765
23.7263452,37.9751765
30.0580595,31.313404
30.0580595,31.313404
30.0580595,31.313404
23.7263452,37.9751765
23.7263452,37.9751765
23.7263452,37.9751765
21.8565547,32.8203485
24.0274013,38.2221907
24.0274013,38.2221907
23.7263452,37.9751765
23.7263452,37.9751765
23.7263452,37.9751765
23.7263452,37.9751765
30.815779,30.432395
23.537401,38.041101
23.537401,38.041101
23.537401,38.041101
23.537401,38.041101
23.7263452,37.9751765
23.7263452,37.9751765
23.7263452,37.9751765
23.7263452,37.9751765
23.7263452,37.9751765
23.7263452,37.9751765
23.7263452,37.9751765
23.7263452,37.9751765
30.6418924,29.1922725
23.7263452,37.9751765
23.7263452,37.9751765
23.7263452,37.9751765
23.7263452,37.9751765
23.7263452,37.9751765
23.7263452,37.9751765
23.7263452,37.9751765
23.7263452,37.9751765
23.7263452,37.9751765
23.7263452,37.9751765
23.7263452,37.9751765
23.7263452,37.9751765
23.7263452,37.9751765
23.7263452,37.9751765
26.47994,38.382361
26.47994,38.382361
23.7352018,38.0218018
23.7352018,38.0218018
32.631884,25.664781
23.7263452,37.9751765
23.7263452,37.9751765
23.7263452,37.9751765
23.7263452,37.9751765
23.7263452,37.9751765
23.7263452,37.9751765
23.7263452,37.9751765
23.7263452,37.9751765
23.7263452,37.9751765
23.7263452,37.9751765
23.7263452,37.9751765
23.7263452,37.9751765
23.7263452,37.9751765
23.7263452,37.9751765
23.7263452,37.9751765
23.7263452,37.9751765
23.7263452,37.9751765
23.7263452,37.9751765
23.7263452,37.9751765
23.7263452,37.9751765
23.7263452,37.9751765
23.7263452,37.9751765
23.7263452,37.9751765
23.7263452,37.9751765
23.6450325,37.9377025
23.6450325,37.9377025
23.6450325,37.9377025
23.6450325,37.9377025
23.6450325,37.9377025
23.6450325,37.9377025
23.6450325,37.9377025
23.6450325,37.9377025
23.6450325,37.9377025
23.6450325,37.9377025
23.6450325,37.9377025
23.6450325,37.9377025
32.631884,25.664781
32.631884,25.664781
23.6450325,37.9377025
23.6450325,37.9377025
23.6450325,37.9377025
23.6450325,37.9377025
23.6450325,37.9377025
23.6450325,37.9377025
23.6450325,37.9377025
23.6450325,37.9377025
23.6450325,37.9377025
23.6450325,37.9377025
23.6450325,37.9377025
23.6450325,37.9377025
23.970146,38.1465515
23.970146,38.1465515
23.8524935,37.9538601
23.8524935,37.9538601
23.7263452,37.9751765
23.7263452,37.9751765
23.7263452,37.9751765
23.7263452,37.9751765
23.7263452,37.9751765
23.7263452,37.9751765
23.7263452,37.9751765
23.7263452,37.9751765
23.7263452,37.9751765
23.7263452,37.9751765
23.7263452,37.9751765
23.7263452,37.9751765
23.7263452,37.9751765
23.7263452,37.9751765
23.7263452,37.9751765
23.7263452,37.9751765
23.7263452,37.9751765
23.7263452,37.9751765
23.7263452,37.9751765
23.7263452,37.9751765
23.7263452,37.9751765
23.7263452,37.9751765
23.7263452,37.9751765
23.7263452,37.9751765
23.7263452,37.9751765
23.7263452,37.9751765
23.7263452,37.9751765
23.7263452,37.9751765
23.7263452,37.9751765
23.7263452,37.9751765
23.7263452,37.9751765
23.7263452,37.9751765
23.7263452,37.9751765
23.7263452,37.9751765
33.139828,34.731871
33.139828,34.731871
27.420201,37.042901
27.420201,37.042901
27.420201,37.042901
27.420201,37.042901
27.420201,37.042901
27.420201,37.042901
27.420201,37.042901
31.901597,46.691895
26.754884,38.6703265
26.0702211,38.2510898
26.0702211,38.2510898
26.020246,38.196671
26.020246,38.196671
26.13278,38.40889
