_uid_,nom_fr,element,lng_target,lat_target,lng_source,lat_source
"301",(couronne du prêtre ?) de Poséidon Helikônios au Paniônion,Paniônion,"27.298333","37.66","27.280208","37.707373"
"302",(prêtre) d'Athéna Lindia et Zeus Polieus et d'Artémis qui (est) à Kekoia,De Kekoia,"28.0882029","36.0912206","26.25","34.75"
"303",(prêtre) d'Athéna Lindia et Zeus Polieus et d'Artémis qui (est) à Kekoia,Kekoia,"28.0882029","36.0912206","26.25","34.75"
"304",(prêtre) d'Athéna Lindia et Zeus Polieus et d'Artémis qui (est) à Kekoia,De Kekoia,"28.0882029","36.0912206","26.25","34.75"
"305",(prêtre) d'Athéna Lindia et Zeus Polieus et d'Artémis qui (est) à Kekoia,Kekoia,"28.0882029","36.0912206","26.25","34.75"
"306",(prêtre) d'Athéna Lindia et Zeus Polieus et d'Artémis qui (est) à Kekoia,De Kekoia,"28.0882029","36.0912206","26.25","34.75"
"307",(prêtre) d'Athéna Lindia et Zeus Polieus et d'Artémis qui (est) à Kekoia,Kekoia,"28.0882029","36.0912206","26.25","34.75"
"308",(prêtre) d'Athéna Lindia et Zeus Polieus et d'Artémis qui (est) à Kekoia,De Kekoia,"28.0882029","36.0912206","26.25","34.75"
"309",(prêtre) d'Athéna Lindia et Zeus Polieus et d'Artémis qui (est) à Kekoia,Kekoia,"28.0882029","36.0912206","26.25","34.75"
"310",(prêtre) d'Athéna Lindia et Zeus Polieus et d'Artémis qui (est) à Kekoia,De Kekoia,"28.0882029","36.0912206","26.25","34.75"
"311",(prêtre) d'Athéna Lindia et Zeus Polieus et d'Artémis qui (est) à Kekoia,Kekoia,"28.0882029","36.0912206","26.25","34.75"
"312",(prêtre) d'Athéna Lindia et Zeus Polieus et d'Artémis qui (est) à Kekoia et d'Hélios en ville (i.e. à Rhodes),De Kekoia,"28.0882029","36.0912206","26.25","34.75"
"313",(prêtre) d'Athéna Lindia et Zeus Polieus et d'Artémis qui (est) à Kekoia et d'Hélios en ville (i.e. à Rhodes),Kekoia,"28.0882029","36.0912206","26.25","34.75"
"314",(prêtre) d'Athéna Lindia et Zeus Polieus et d'Artémis qui (est) à Kekoia,De Kekoia,"28.0882029","36.0912206","26.25","34.75"
"315",(prêtre) d'Athéna Lindia et Zeus Polieus et d'Artémis qui (est) à Kekoia,Kekoia,"28.0882029","36.0912206","26.25","34.75"
"316",(prêtre) d'Athéna Lindia et Zeus Polieus et d'Artémis qui (est) à Kekoia et d'Apollon Pythaée,De Kekoia,"28.0882029","36.0912206","26.25","34.75"
"317",(prêtre) d'Athéna Lindia et Zeus Polieus et d'Artémis qui (est) à Kekoia et d'Apollon Pythaée,Kekoia,"28.0882029","36.0912206","26.25","34.75"
"318",(prêtre) d'Athéna Lindia et Zeus Polieus et d'Artémis qui (est) à Kekoia,De Kekoia,"28.0882029","36.0912206","26.25","34.75"
"319",(prêtre) d'Athéna Lindia et Zeus Polieus et d'Artémis qui (est) à Kekoia,Kekoia,"28.0882029","36.0912206","26.25","34.75"
"320",(prêtre) d'Athéna Lindia et Zeus Polieus et d'Artémis qui (est) à Kekoia et d'Apollon Pythaée,De Kekoia,"28.0882029","36.0912206","26.25","34.75"
"321",(prêtre) d'Athéna Lindia et Zeus Polieus et d'Artémis qui (est) à Kekoia et d'Apollon Pythaée,Kekoia,"28.0882029","36.0912206","26.25","34.75"
"322",(prêtres) d'Athéna Lindia et Zeus Polieus et d'Artémis qui (est) à Kekoia,De Kekoia,"28.0882029","36.0912206","26.25","34.75"
"323",(prêtres) d'Athéna Lindia et Zeus Polieus et d'Artémis qui (est) à Kekoia,Kekoia,"28.0882029","36.0912206","26.25","34.75"
"324",(prêtre) d'Athéna Lindia (et) Zeus Polieus (et) d'Artémis qui (est) à Kekoia (et) de Poséidon Hippios,De Kekoia,"28.0882029","36.0912206","26.25","34.75"
"325",(prêtre) d'Athéna Lindia (et) Zeus Polieus (et) d'Artémis qui (est) à Kekoia (et) de Poséidon Hippios,Kekoia,"28.0882029","36.0912206","26.25","34.75"
"326",(prêtre) d'Athéna Lindia et Zeus Polieus et d'Artémis qui (est) à Kekoia et de Sarapis en ville,De Kekoia,"28.0882029","36.0912206","26.25","34.75"
"327",(prêtre) d'Athéna Lindia et Zeus Polieus et d'Artémis qui (est) à Kekoia et de Sarapis en ville,Kekoia,"28.0882029","36.0912206","26.25","34.75"
"328",(prêtre) d'Athéna Lindia et Zeus Polieus et d'Artémis qui (est) à Kekoia,De Kekoia,"28.0882029","36.0912206","26.25","34.75"
"329",(prêtre) d'Athéna Lindia et Zeus Polieus et d'Artémis qui (est) à Kekoia,Kekoia,"28.0882029","36.0912206","26.25","34.75"
"330",(prêtre) d'Athéna Lindia et Zeus Polieus et d'Artémis qui (est) à Kekoia,De Kekoia,"28.0882029","36.0912206","26.25","34.75"
"331",(prêtre) d'Athéna Lindia et Zeus Polieus et d'Artémis qui (est) à Kekoia,Kekoia,"28.0882029","36.0912206","26.25","34.75"
"332",(prêtre) d'Athéna Lindia et Zeus Polieus et d'Artémis qui (est) à Kekoia,De Kekoia,"28.0882029","36.0912206","26.25","34.75"
"333",(prêtre) d'Athéna Lindia et Zeus Polieus et d'Artémis qui (est) à Kekoia,Kekoia,"28.0882029","36.0912206","26.25","34.75"
"334",(prêtre) d'Athéna Lindia et Zeus Polieus et d'Artémis qui (est) à Kekoia,De Kekoia,"28.0882029","36.0912206","26.25","34.75"
"335",(prêtre) d'Athéna Lindia et Zeus Polieus et d'Artémis qui (est) à Kekoia,Kekoia,"28.0882029","36.0912206","26.25","34.75"
"336",(prêtre) d'Artémis qui (est) à Kekoia,De Kekoia,"28.0882029","36.0912206","26.25","34.75"
"337",(prêtre) d'Artémis qui (est) à Kekoia,Kekoia,"28.0882029","36.0912206","26.25","34.75"
"338","pour Athéna Lindia (et) Zeus Polieus, Apollon Pythien, Poséidon Hippios, Artémis qui (est) à Kekoia, Dionysos",De Kekoia,"28.0882029","36.0912206","26.25","34.75"
"339","pour Athéna Lindia (et) Zeus Polieus, Apollon Pythien, Poséidon Hippios, Artémis qui (est) à Kekoia, Dionysos",Kekoia,"28.0882029","36.0912206","26.25","34.75"
"340",(prêtre) d'Athéna Lindia et Zeus Polieus et d'Artémis qui (est) à Kekoia,De Kekoia,"28.0882029","36.0912206","26.25","34.75"
